fecha,WS2M,T2M,PRECTOTCORR,lat,lon
2025-01-01,3.06,10.84,0.06,-16.5,-68.15
2025-01-02,3.46,9.95,0.53,-16.5,-68.15
2025-01-03,3.56,10.14,7.43,-16.5,-68.15
2025-01-04,2.88,9.41,20.74,-16.5,-68.15
2025-01-05,2.76,8.15,13.25,-16.5,-68.15
2025-01-06,3.4,9.07,4.38,-16.5,-68.15
2025-01-07,2.68,9.85,10.26,-16.5,-68.15
2025-01-08,2.54,8.2,11.3,-16.5,-68.15
2025-01-09,2.1,6.34,18.36,-16.5,-68.15
2025-01-10,2.45,5.33,6.77,-16.5,-68.15
2025-01-11,1.74,6.96,9.66,-16.5,-68.15
2025-01-12,1.58,7.2,4.09,-16.5,-68.15
2025-01-13,1.76,10.23,0.13,-16.5,-68.15
2025-01-14,1.83,9.69,0.61,-16.5,-68.15
2025-01-15,2.64,9.09,0.42,-16.5,-68.15
2025-01-16,2.49,7.5,1.37,-16.5,-68.15
2025-01-17,3.26,7.66,1.04,-16.5,-68.15
2025-01-18,2.67,7.49,9.53,-16.5,-68.15
2025-01-19,2.85,8.56,7.44,-16.5,-68.15
2025-01-20,2.62,8.05,4.37,-16.5,-68.15
2025-01-21,2.52,9.38,3.95,-16.5,-68.15
2025-01-22,2.53,8.12,21.54,-16.5,-68.15
2025-01-23,2.96,8.29,13.57,-16.5,-68.15
2025-01-24,2.72,9.18,5.23,-16.5,-68.15
2025-01-25,3.51,9.23,9.02,-16.5,-68.15
2025-01-26,3.15,9.02,2.38,-16.5,-68.15
2025-01-27,2.98,9.51,4.87,-16.5,-68.15
2025-01-28,3.15,9.27,5.34,-16.5,-68.15
2025-01-29,2.67,8.73,2.08,-16.5,-68.15
2025-01-30,2.98,8.64,1.19,-16.5,-68.15
2025-01-31,2.41,9.95,3.21,-16.5,-68.15
2025-01-01,3.06,10.84,0.06,-16.51,-68.14
2025-01-02,3.46,9.95,0.53,-16.51,-68.14
2025-01-03,3.56,10.14,7.43,-16.51,-68.14
2025-01-04,2.88,9.41,20.74,-16.51,-68.14
2025-01-05,2.76,8.15,13.25,-16.51,-68.14
2025-01-06,3.4,9.07,4.38,-16.51,-68.14
2025-01-07,2.68,9.85,10.26,-16.51,-68.14
2025-01-08,2.54,8.2,11.3,-16.51,-68.14
2025-01-09,2.1,6.34,18.36,-16.51,-68.14
2025-01-10,2.45,5.33,6.77,-16.51,-68.14
2025-01-11,1.74,6.96,9.66,-16.51,-68.14
2025-01-12,1.58,7.2,4.09,-16.51,-68.14
2025-01-13,1.76,10.23,0.13,-16.51,-68.14
2025-01-14,1.83,9.69,0.61,-16.51,-68.14
2025-01-15,2.64,9.09,0.42,-16.51,-68.14
2025-01-16,2.49,7.5,1.37,-16.51,-68.14
2025-01-17,3.26,7.66,1.04,-16.51,-68.14
2025-01-18,2.67,7.49,9.53,-16.51,-68.14
2025-01-19,2.85,8.56,7.44,-16.51,-68.14
2025-01-20,2.62,8.05,4.37,-16.51,-68.14
2025-01-21,2.52,9.38,3.95,-16.51,-68.14
2025-01-22,2.53,8.12,21.54,-16.51,-68.14
2025-01-23,2.96,8.29,13.57,-16.51,-68.14
2025-01-24,2.72,9.18,5.23,-16.51,-68.14
2025-01-25,3.51,9.23,9.02,-16.51,-68.14
2025-01-26,3.15,9.02,2.38,-16.51,-68.14
2025-01-27,2.98,9.51,4.87,-16.51,-68.14
2025-01-28,3.15,9.27,5.34,-16.51,-68.14
2025-01-29,2.67,8.73,2.08,-16.51,-68.14
2025-01-30,2.98,8.64,1.19,-16.51,-68.14
2025-01-31,2.41,9.95,3.21,-16.51,-68.14
2025-01-01,3.06,10.84,0.06,-16.52,-68.12
2025-01-02,3.46,9.95,0.53,-16.52,-68.12
2025-01-03,3.56,10.14,7.43,-16.52,-68.12
2025-01-04,2.88,9.41,20.74,-16.52,-68.12
2025-01-05,2.76,8.15,13.25,-16.52,-68.12
2025-01-06,3.4,9.07,4.38,-16.52,-68.12
2025-01-07,2.68,9.85,10.26,-16.52,-68.12
2025-01-08,2.54,8.2,11.3,-16.52,-68.12
2025-01-09,2.1,6.34,18.36,-16.52,-68.12
2025-01-10,2.45,5.33,6.77,-16.52,-68.12
2025-01-11,1.74,6.96,9.66,-16.52,-68.12
2025-01-12,1.58,7.2,4.09,-16.52,-68.12
2025-01-13,1.76,10.23,0.13,-16.52,-68.12
2025-01-14,1.83,9.69,0.61,-16.52,-68.12
2025-01-15,2.64,9.09,0.42,-16.52,-68.12
2025-01-16,2.49,7.5,1.37,-16.52,-68.12
2025-01-17,3.26,7.66,1.04,-16.52,-68.12
2025-01-18,2.67,7.49,9.53,-16.52,-68.12
2025-01-19,2.85,8.56,7.44,-16.52,-68.12
2025-01-20,2.62,8.05,4.37,-16.52,-68.12
2025-01-21,2.52,9.38,3.95,-16.52,-68.12
2025-01-22,2.53,8.12,21.54,-16.52,-68.12
2025-01-23,2.96,8.29,13.57,-16.52,-68.12
2025-01-24,2.72,9.18,5.23,-16.52,-68.12
2025-01-25,3.51,9.23,9.02,-16.52,-68.12
2025-01-26,3.15,9.02,2.38,-16.52,-68.12
2025-01-27,2.98,9.51,4.87,-16.52,-68.12
2025-01-28,3.15,9.27,5.34,-16.52,-68.12
2025-01-29,2.67,8.73,2.08,-16.52,-68.12
2025-01-30,2.98,8.64,1.19,-16.52,-68.12
2025-01-31,2.41,9.95,3.21,-16.52,-68.12
2025-01-01,3.06,10.84,0.06,-16.48,-68.12
2025-01-02,3.46,9.95,0.53,-16.48,-68.12
2025-01-03,3.56,10.14,7.43,-16.48,-68.12
2025-01-04,2.88,9.41,20.74,-16.48,-68.12
2025-01-05,2.76,8.15,13.25,-16.48,-68.12
2025-01-06,3.4,9.07,4.38,-16.48,-68.12
2025-01-07,2.68,9.85,10.26,-16.48,-68.12
2025-01-08,2.54,8.2,11.3,-16.48,-68.12
2025-01-09,2.1,6.34,18.36,-16.48,-68.12
2025-01-10,2.45,5.33,6.77,-16.48,-68.12
2025-01-11,1.74,6.96,9.66,-16.48,-68.12
2025-01-12,1.58,7.2,4.09,-16.48,-68.12
2025-01-13,1.76,10.23,0.13,-16.48,-68.12
2025-01-14,1.83,9.69,0.61,-16.48,-68.12
2025-01-15,2.64,9.09,0.42,-16.48,-68.12
2025-01-16,2.49,7.5,1.37,-16.48,-68.12
2025-01-17,3.26,7.66,1.04,-16.48,-68.12
2025-01-18,2.67,7.49,9.53,-16.48,-68.12
2025-01-19,2.85,8.56,7.44,-16.48,-68.12
2025-01-20,2.62,8.05,4.37,-16.48,-68.12
2025-01-21,2.52,9.38,3.95,-16.48,-68.12
2025-01-22,2.53,8.12,21.54,-16.48,-68.12
2025-01-23,2.96,8.29,13.57,-16.48,-68.12
2025-01-24,2.72,9.18,5.23,-16.48,-68.12
2025-01-25,3.51,9.23,9.02,-16.48,-68.12
2025-01-26,3.15,9.02,2.38,-16.48,-68.12
2025-01-27,2.98,9.51,4.87,-16.48,-68.12
2025-01-28,3.15,9.27,5.34,-16.48,-68.12
2025-01-29,2.67,8.73,2.08,-16.48,-68.12
2025-01-30,2.98,8.64,1.19,-16.48,-68.12
2025-01-31,2.41,9.95,3.21,-16.48,-68.12
2025-01-01,3.06,10.84,0.06,-16.49,-68.16
2025-01-02,3.46,9.95,0.53,-16.49,-68.16
2025-01-03,3.56,10.14,7.43,-16.49,-68.16
2025-01-04,2.88,9.41,20.74,-16.49,-68.16
2025-01-05,2.76,8.15,13.25,-16.49,-68.16
2025-01-06,3.4,9.07,4.38,-16.49,-68.16
2025-01-07,2.68,9.85,10.26,-16.49,-68.16
2025-01-08,2.54,8.2,11.3,-16.49,-68.16
2025-01-09,2.1,6.34,18.36,-16.49,-68.16
2025-01-10,2.45,5.33,6.77,-16.49,-68.16
2025-01-11,1.74,6.96,9.66,-16.49,-68.16
2025-01-12,1.58,7.2,4.09,-16.49,-68.16
2025-01-13,1.76,10.23,0.13,-16.49,-68.16
2025-01-14,1.83,9.69,0.61,-16.49,-68.16
2025-01-15,2.64,9.09,0.42,-16.49,-68.16
2025-01-16,2.49,7.5,1.37,-16.49,-68.16
2025-01-17,3.26,7.66,1.04,-16.49,-68.16
2025-01-18,2.67,7.49,9.53,-16.49,-68.16
2025-01-19,2.85,8.56,7.44,-16.49,-68.16
2025-01-20,2.62,8.05,4.37,-16.49,-68.16
2025-01-21,2.52,9.38,3.95,-16.49,-68.16
2025-01-22,2.53,8.12,21.54,-16.49,-68.16
2025-01-23,2.96,8.29,13.57,-16.49,-68.16
2025-01-24,2.72,9.18,5.23,-16.49,-68.16
2025-01-25,3.51,9.23,9.02,-16.49,-68.16
2025-01-26,3.15,9.02,2.38,-16.49,-68.16
2025-01-27,2.98,9.51,4.87,-16.49,-68.16
2025-01-28,3.15,9.27,5.34,-16.49,-68.16
2025-01-29,2.67,8.73,2.08,-16.49,-68.16
2025-01-30,2.98,8.64,1.19,-16.49,-68.16
2025-01-31,2.41,9.95,3.21,-16.49,-68.16
